STATION,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TMAX,TMIN,WSF2
USW00003810,35.74205,-81.38225,356.6,2019-08-01,18.0,311.0,194.0,81.0
USW00003811,35.59332,-88.91696,129.2,2019-08-01,0.0,311.0,183.0,63.0
USW00003812,35.43178,-82.53787,645.6,2019-08-01,0.0,283.0,172.0,63.0
USW00003813,32.68889,-83.65296,104.5,2019-08-01,566.0,367.0,206.0,201.0
USW00003816,37.05635,-88.77425,124.1,2019-08-01,0.0,294.0,183.0,58.0
USW00003820,33.36517,-81.96353,40.9,2019-08-01,8.0,361.0,211.0,116.0
USW00003822,32.13133,-81.2023,8.7,2019-08-01,0.0,344.0,233.0,72.0
USW00003847,35.95097,-85.08141,568.6,2019-08-01,5.0,278.0,178.0,54.0
USW00003856,34.64406,-86.78615,190.0,2019-08-01,0.0,333.0,211.0,98.0
USW00003859,37.2978,-81.20358,870.1,2019-08-01,5.0,272.0,144.0,63.0
USW00003860,38.36531,-82.5548,251.3,2019-08-01,0.0,317.0,194.0,67.0
USW00003866,32.55,-88.56667,82.6,2019-08-01,38.0,356.0,200.0,89.0
USW00003868,39.4429,-87.32206,172.7,2019-08-01,0.0,289.0,139.0,45.0
USW00003870,34.90614,-82.21253,294.4,2019-08-01,881.0,339.0,194.0,130.0
USW00003872,37.78359,-81.12283,760.2,2019-08-01,69.0,289.0,156.0,89.0
USW00003878,31.85742,-86.01025,118.6,2019-08-01,132.0,361.0,206.0,98.0
USW00003887,39.83079,-88.87192,205.1,2019-08-01,0.0,283.0,117.0,58.0
USW00003888,33.77759,-84.52464,245.0,2019-08-01,170.0,333.0,200.0,76.0
USW00003889,37.591335,-83.313696,413.0,2019-08-01,0.0,306.0,189.0,31.0
USW00003893,39.14317,-86.61676,253.3,2019-08-01,0.0,289.0,144.0,36.0
USW00003894,36.61689,-87.41174,167.7,2019-08-01,0.0,306.0,194.0,67.0
USW00003901,32.39094,-94.71396,107.3,2019-08-01,0.0,344.0,239.0,40.0
USW00003904,30.5912,-96.36309,96.0,2019-08-01,0.0,367.0,244.0,54.0
USW00003919,38.77996,-97.64444,385.0,2019-08-01,13.0,322.0,228.0,103.0
USW00003927,32.89744,-97.02196,165.7,2019-08-01,0.0,356.0,250.0,63.0
USW00003928,37.64753,-97.42999,401.7,2019-08-01,46.0,328.0,228.0,103.0
USW00003932,35.35677,-99.20411,584.7,2019-08-01,0.0,378.0,233.0,94.0
USW00003935,37.22545,-89.57855,101.8,2019-08-01,0.0,300.0,189.0,63.0
USW00003936,39.13456,-96.67894,319.3,2019-08-01,0.0,344.0,217.0,94.0
USW00003937,30.12551,-93.22771,2.0,2019-08-01,0.0,333.0,244.0,40.0
USW00003940,32.31982,-90.07778,90.2,2019-08-01,0.0,344.0,206.0,63.0
USW00003945,38.81704,-92.21475,272.2,2019-08-01,0.0,300.0,183.0,58.0
USW00003947,39.29747,-94.73087,307.4,2019-08-01,5.0,300.0,200.0,76.0
USW00003950,34.55771,-98.4172,326.0,2019-08-01,0.0,394.0,239.0,98.0
USW00003952,34.8353,-92.2596,171.6,2019-08-01,0.0,306.0,228.0,31.0
USW00003954,35.54113,-97.64725,390.2,2019-08-01,0.0,367.0,261.0,89.0
USW00003957,37.2839,-98.5528,467.9,2019-08-01,10.0,339.0,239.0,89.0
USW00003959,36.7664,-96.01292,210.4,2019-08-01,89.0,322.0,211.0,72.0
USW00003960,38.56402,-90.14869,123.4,2019-08-01,0.0,289.0,172.0,58.0
USW00003961,31.61667,-91.28333,82.9,2019-08-01,5.0,317.0,222.0,27.0
USW00003962,34.47551,-93.10413,154.0,2019-08-01,3.0,311.0,233.0,40.0
USW00003963,38.59454,-92.15672,165.7,2019-08-01,0.0,300.0,206.0,58.0
USW00003965,36.16238,-97.08931,292.8,2019-08-01,13.0,350.0,250.0,98.0
USW00003966,38.65752,-90.65577,139.5,2019-08-01,0.0,289.0,183.0,54.0
USW00003967,38.84997,-94.73949,327.2,2019-08-01,132.0,272.0,194.0,63.0
USW00003975,36.76973,-90.32241,99.6,2019-08-01,0.0,311.0,206.0,45.0
USW00003991,33.20883,-97.19922,194.6,2019-08-01,0.0,361.0,222.0,67.0
USW00003996,32.34808,-91.02994,25.2,2019-08-01,10.0,333.0,228.0,54.0
USW00003998,37.32814,-95.50446,263.9,2019-08-01,447.0,294.0,200.0,98.0
USW00003999,30.74067,-98.23539,386.1,2019-08-01,0.0,367.0,244.0,58.0
USW00004110,42.72735,-114.4547,1226.5,2019-08-01,0.0,328.0,189.0,125.0
USW00004111,41.27269,-111.03056,2175.9,2019-08-01,0.0,267.0,122.0,89.0
USW00004112,44.17079,-114.92686,1979.7,2019-08-01,3.0,294.0,56.0,58.0
USW00004113,45.8259,-119.26121,195.1,2019-08-01,0.0,356.0,178.0,63.0
USW00004201,45.76908,-122.86368,15.1,2019-08-01,0.0,311.0,144.0,54.0
USW00004725,42.20678,-75.97993,485.7,2019-08-01,0.0,267.0,161.0,54.0
USW00004726,40.31488,-78.83075,693.9,2019-08-01,0.0,267.0,150.0,63.0
USW00004751,41.79835,-78.63543,642.2,2019-08-01,0.0,272.0,122.0,54.0
USW00004781,40.79389,-73.10181,25.4,2019-08-01,0.0,311.0,211.0,58.0
USW00004787,41.17947,-78.89326,550.4,2019-08-01,0.0,283.0,156.0,54.0
USW00004789,41.50908,-74.26458,108.2,2019-08-01,0.0,294.0,172.0,45.0
USW00004803,45.63143,-89.4824,502.2,2019-08-01,0.0,267.0,83.0,45.0
USW00004804,40.078406,-83.078332,275.0,2019-08-01,0.0,289.0,189.0,67.0
USW00004808,41.77132,-88.48148,213.7,2019-08-01,0.0,278.0,100.0,54.0
USW00004836,47.28518,-68.30715,300.1,2019-08-01,0.0,233.0,128.0,89.0
USW00004838,42.12076,-87.90479,191.6,2019-08-01,0.0,267.0,133.0,45.0
USW00004839,42.74634,-86.09677,206.5,2019-08-01,0.0,272.0,117.0,58.0
USW00004840,43.76951,-88.49076,242.5,2019-08-01,0.0,272.0,100.0,45.0
USW00004842,40.87324,-81.88864,336.8,2019-08-01,0.0,283.0,156.0,58.0
USW00004843,41.62584,-80.21231,427.5,2019-08-01,0.0,272.0,150.0,54.0
USW00004845,42.59529,-87.93832,223.5,2019-08-01,0.0,261.0,94.0,54.0
USW00004846,41.4535,-86.997964,234.0,2019-08-01,0.0,278.0,161.0,58.0
USW00004847,41.86784,-84.07946,244.1,2019-08-01,0.0,278.0,139.0,54.0
USW00004849,41.34628,-82.17885,241.0,2019-08-01,0.0,272.0,150.0,67.0
USW00004850,40.70806,-84.0214,293.0,2019-08-01,0.0,283.0,172.0,58.0
USW00004852,40.47031,-81.42176,271.7,2019-08-01,0.0,283.0,167.0,40.0
USW00004853,41.52568,-81.66908,177.5,2019-08-01,0.0,261.0,211.0,63.0
USW00004854,45.01657,-84.68942,405.9,2019-08-01,0.0,250.0,67.0,40.0
USW00004858,40.02635,-82.46346,267.6,2019-08-01,3.0,283.0,194.0,54.0
USW00004901,40.89306,-97.99722,548.3,2019-08-01,0.0,267.0,167.0,58.0
USW00004935,40.45,-99.33917,702.3,2019-08-01,0.0,261.0,183.0,63.0
USW00004998,40.14917,-97.58667,449.0,2019-08-01,0.0,294.0,200.0,67.0
USW00012812,26.91847,-81.99391,6.1,2019-08-01,8.0,322.0,228.0,103.0
USW00012815,28.41822,-81.32413,27.1,2019-08-01,0.0,322.0,228.0,94.0
USW00012816,29.6917,-82.27603,40.7,2019-08-01,0.0,339.0,206.0,98.0
USW00012818,28.47388,-82.45374,19.7,2019-08-01,348.0,339.0,222.0,98.0
USW00012819,28.82143,-81.80963,20.8,2019-08-01,305.0,322.0,228.0,76.0
USW00012832,29.72681,-85.02481,5.5,2019-08-01,5.0,328.0,233.0,76.0
USW00012833,29.63333,-83.10528,11.6,2019-08-01,180.0,333.0,222.0,63.0
USW00012834,29.17351,-81.07185,7.9,2019-08-01,295.0,300.0,228.0,98.0
USW00012835,26.58495,-81.86146,3.8,2019-08-01,104.0,328.0,228.0,134.0
USW00012836,24.55706,-81.75539,0.3,2019-08-01,51.0,317.0,261.0,143.0
USW00012838,28.09969,-80.6356,6.7,2019-08-01,198.0,317.0,233.0,103.0
USW00012839,25.78805,-80.31694,1.4,2019-08-01,38.0,294.0,250.0,94.0
USW00012841,28.54653,-81.33544,31.7,2019-08-01,274.0,328.0,228.0,125.0
USW00012843,27.6553,-80.41425,5.7,2019-08-01,373.0,317.0,233.0,130.0
USW00012844,26.6851,-80.09918,3.5,2019-08-01,10.0,322.0,261.0,107.0
USW00012849,26.07875,-80.16223,1.0,2019-08-01,259.0,294.0,239.0,148.0
USW00012854,28.77951,-81.24356,14.9,2019-08-01,30.0,322.0,233.0,89.0
USW00012871,27.40146,-82.55863,5.3,2019-08-01,147.0,339.0,233.0,103.0
USW00012873,27.91255,-82.68555,0.1,2019-08-01,163.0,328.0,239.0,103.0
USW00012876,28.06137,-81.75684,43.5,2019-08-01,69.0,339.0,239.0,130.0
USW00012883,28.0,-82.05,45.1,2019-08-01,239.0,333.0,206.0,89.0
USW00012885,26.19905,-80.17764,3.5,2019-08-01,36.0,311.0,239.0,125.0
USW00012888,25.64226,-80.43467,1.8,2019-08-01,30.0,289.0,261.0,67.0
USW00012894,26.53805,-81.75674,8.2,2019-08-01,277.0,339.0,233.0,170.0
USW00012895,27.49816,-80.37626,5.7,2019-08-01,239.0,311.0,233.0,103.0
USW00012896,24.72624,-81.0477,0.9,2019-08-01,51.0,322.0,256.0,89.0
USW00012897,26.15498,-81.77514,2.0,2019-08-01,114.0,294.0,239.0,94.0
USW00012904,26.2303,-97.65565,9.5,2019-08-01,0.0,350.0,228.0,103.0
USW00012912,28.86245,-96.9301,33.7,2019-08-01,0.0,378.0,228.0,107.0
USW00012916,29.99755,-90.27772,-1.0,2019-08-01,3.0,344.0,233.0,45.0
USW00012917,29.95205,-94.02616,3.8,2019-08-01,0.0,333.0,244.0,76.0
USW00012918,29.64586,-95.28212,13.2,2019-08-01,0.0,344.0,256.0,63.0
USW00012919,25.91459,-97.42314,5.7,2019-08-01,0.0,361.0,256.0,76.0
USW00012921,29.54429,-98.48395,243.6,2019-08-01,0.0,367.0,244.0,76.0
USW00012923,29.27036,-94.86421,1.5,2019-08-01,0.0,328.0,272.0,63.0
USW00012924,27.77335,-97.51302,12.5,2019-08-01,0.0,350.0,228.0,81.0
USW00012932,27.74131,-98.02507,52.0,2019-08-01,0.0,383.0,222.0,103.0
USW00012935,28.7248,-96.25353,3.1,2019-08-01,18.0,344.0,250.0,89.0
USW00012947,28.45854,-99.22275,144.0,2019-08-01,0.0,400.0,244.0,98.0
USW00012953,29.26611,-96.0075,30.5,2019-08-01,0.0,344.0,217.0,54.0
USW00012959,26.17912,-98.2445,30.1,2019-08-01,0.0,372.0,250.0,94.0
USW00012960,29.98438,-95.36072,27.5,2019-08-01,0.0,350.0,239.0,63.0
USW00012961,29.98333,-99.08333,492.9,2019-08-01,0.0,361.0,222.0,54.0
USW00012962,29.36013,-99.17423,281.0,2019-08-01,0.0,378.0,222.0,76.0
USW00012970,29.33896,-98.47198,173.1,2019-08-01,0.0,378.0,244.0,72.0
USW00012971,29.70887,-98.04585,197.6,2019-08-01,0.0,378.0,228.0,63.0
USW00012972,28.08366,-97.04669,7.5,2019-08-01,0.0,328.0,244.0,72.0
USW00012975,29.51924,-95.2423,11.9,2019-08-01,0.0,344.0,244.0,63.0
USW00012976,29.11536,-95.46323,7.7,2019-08-01,3.0,328.0,228.0,72.0
USW00012977,29.61971,-95.65748,23.5,2019-08-01,0.0,344.0,233.0,72.0
USW00012978,29.90778,-96.95,98.8,2019-08-01,0.0,367.0,239.0,18.0
USW00012979,29.89083,-97.86444,182.0,2019-08-01,0.0,372.0,222.0,63.0
USW00012981,28.97306,-95.86333,13.7,2019-08-01,0.0,344.0,239.0,45.0
USW00012985,29.21139,-99.74361,287.1,2019-08-01,0.0,372.0,217.0,67.0
USW00013721,38.3,-76.41667,11.9,2019-08-01,0.0,311.0,211.0,58.0
USW00013722,35.89227,-78.78194,120.5,2019-08-01,221.0,328.0,194.0,148.0
USW00013723,36.0969,-79.94316,275.0,2019-08-01,89.0,311.0,194.0,81.0
USW00013724,39.37778,-74.42361,3.0,2019-08-01,3.0,261.0,211.0,49.0
USW00013728,36.57286,-79.33496,168.2,2019-08-01,91.0,322.0,178.0,76.0
USW00013729,38.8899,-79.85544,595.7,2019-08-01,0.0,300.0,161.0,54.0
USW00013733,37.32126,-79.20649,274.9,2019-08-01,533.0,322.0,172.0,94.0
USW00013736,39.64981,-79.92064,373.6,2019-08-01,0.0,306.0,178.0,45.0
USW00013737,36.90371,-76.19266,3.3,2019-08-01,0.0,306.0,222.0,45.0
USW00013739,39.87326,-75.22681,2.1,2019-08-01,0.0,322.0,228.0,54.0
USW00013740,37.51154,-77.32338,50.7,2019-08-01,38.0,328.0,206.0,63.0
USW00013741,37.31719,-79.97369,346.7,2019-08-01,64.0,322.0,189.0,107.0
USW00013743,38.84721,-77.03454,4.1,2019-08-01,0.0,328.0,217.0,94.0
USW00013744,34.18773,-79.73079,43.0,2019-08-01,198.0,344.0,200.0,94.0
USW00013748,34.26678,-77.89987,7.0,2019-08-01,10.0,328.0,222.0,81.0
USW00013769,36.81667,-76.03333,7.0,2019-08-01,5.0,294.0,206.0,54.0
USW00013781,39.67444,-75.60566,22.4,2019-08-01,102.0,300.0,217.0,81.0
USW00013782,32.775,-79.9239,3.0,2019-08-01,0.0,306.0,267.0,54.0
USW00013786,36.25771,-76.1716,1.7,2019-08-01,20.0,317.0,194.0,63.0
USW00013810,38.23021,-85.66294,164.6,2019-08-01,0.0,317.0,194.0,45.0
USW00013833,31.26951,-89.25609,44.7,2019-08-01,81.0,333.0,217.0,67.0
USW00013838,30.61465,-88.06301,4.9,2019-08-01,0.0,344.0,239.0,72.0
USW00013841,39.43084,-83.777,324.9,2019-08-01,183.0,283.0,178.0,81.0
USW00013865,32.33483,-88.75073,88.1,2019-08-01,330.0,356.0,217.0,94.0
USW00013866,38.3795,-81.59112,278.1,2019-08-01,0.0,333.0,194.0,67.0
USW00013869,31.53642,-84.1958,58.2,2019-08-01,0.0,356.0,217.0,112.0
USW00013870,31.54006,-82.50735,58.2,2019-08-01,0.0,350.0,217.0,67.0
USW00013871,33.59043,-85.84788,181.8,2019-08-01,114.0,328.0,200.0,94.0
USW00013873,33.94773,-83.32736,239.0,2019-08-01,51.0,361.0,206.0,63.0
USW00013874,33.62972,-84.44224,308.2,2019-08-01,74.0,344.0,217.0,98.0
USW00013876,33.56545,-86.7449,187.7,2019-08-01,3.0,339.0,206.0,67.0
USW00013877,36.47964,-82.39893,455.9,2019-08-01,3.0,311.0,178.0,58.0
USW00013878,31.1527,-81.39053,4.3,2019-08-01,246.0,322.0,233.0,130.0
USW00013880,32.89945,-80.0407,11.8,2019-08-01,0.0,328.0,233.0,72.0
USW00013881,35.22254,-80.95433,222.6,2019-08-01,366.0,344.0,194.0,197.0
USW00013882,35.03363,-85.20039,204.0,2019-08-01,0.0,339.0,217.0,94.0
USW00013883,33.94225,-81.11802,68.3,2019-08-01,5.0,333.0,217.0,67.0
USW00013886,34.84872,-82.35006,309.9,2019-08-01,188.0,350.0,211.0,98.0
USW00013889,30.49529,-81.69374,7.2,2019-08-01,455.0,317.0,217.0,76.0
USW00013891,35.81801,-83.98573,295.8,2019-08-01,0.0,328.0,200.0,89.0
USW00013893,35.05639,-89.9864,76.6,2019-08-01,0.0,328.0,222.0,67.0
USW00013894,30.68819,-88.24598,65.5,2019-08-01,43.0,344.0,222.0,67.0
USW00013895,32.2997,-86.40745,66.2,2019-08-01,0.0,356.0,222.0,89.0
USW00013896,34.74388,-87.59971,165.8,2019-08-01,0.0,333.0,211.0,45.0
USW00013897,36.11054,-86.68815,178.9,2019-08-01,0.0,333.0,217.0,67.0
USW00013899,30.47612,-87.18575,36.0,2019-08-01,0.0,339.0,239.0,76.0
USW00013904,30.18311,-97.67989,146.5,2019-08-01,0.0,361.0,211.0,58.0
USW00013911,32.76667,-97.45,185.3,2019-08-01,0.0,367.0,261.0,67.0
USW00013920,38.94144,-95.65125,315.1,2019-08-01,20.0,294.0,206.0,98.0
USW00013925,34.60028,-91.57444,68.3,2019-08-01,0.0,311.0,228.0,40.0
USW00013927,32.33756,-90.2214,101.7,2019-08-01,0.0,333.0,217.0,54.0
USW00013935,31.3963,-92.28278,26.9,2019-08-01,0.0,328.0,211.0,40.0
USW00013939,33.49385,-90.98058,37.8,2019-08-01,0.0,322.0,217.0,58.0
USW00013942,32.51552,-92.02995,22.1,2019-08-01,0.0,322.0,217.0,45.0
USW00013957,32.4473,-93.8244,69.5,2019-08-01,0.0,350.0,228.0,45.0
USW00013958,30.3208,-97.7604,204.2,2019-08-01,0.0,378.0,250.0,54.0
USW00013959,31.61796,-97.2283,151.9,2019-08-01,0.0,361.0,256.0,63.0
USW00013960,32.83839,-96.83583,147.6,2019-08-01,0.0,356.0,267.0,63.0
USW00013961,32.82478,-97.36403,213.6,2019-08-01,0.0,356.0,228.0,72.0
USW00013962,32.41063,-99.68208,544.8,2019-08-01,0.0,383.0,239.0,76.0
USW00013963,34.72727,-92.2358,76.4,2019-08-01,0.0,328.0,228.0,45.0
USW00013964,35.33346,-94.36526,136.7,2019-08-01,5.0,322.0,244.0,54.0
USW00013966,33.97855,-98.49298,308.6,2019-08-01,0.0,378.0,244.0,94.0
USW00013967,35.38843,-97.60035,389.9,2019-08-01,0.0,356.0,233.0,89.0
USW00013968,36.19854,-95.87825,194.9,2019-08-01,3.0,333.0,244.0,76.0
USW00013970,30.53782,-91.14681,20.4,2019-08-01,0.0,339.0,228.0,40.0
USW00013971,36.26727,-93.15657,418.0,2019-08-01,28.0,311.0,211.0,54.0
USW00013972,32.3587,-95.404,159.5,2019-08-01,0.0,356.0,239.0,40.0
USW00013973,30.51048,-99.76649,521.5,2019-08-01,0.0,383.0,228.0,76.0
USW00013975,36.29659,-99.76865,665.9,2019-08-01,0.0,411.0,239.0,112.0
USW00013976,30.19859,-91.98957,10.8,2019-08-01,0.0,311.0,200.0,45.0
USW00013977,33.45606,-93.98777,115.8,2019-08-01,0.0,322.0,228.0,36.0
USW00013978,33.49612,-90.08946,42.7,2019-08-01,0.0,328.0,206.0,45.0
USW00013981,37.6705,-95.48462,298.8,2019-08-01,216.0,306.0,206.0,130.0
USW00013984,39.55127,-97.65077,444.3,2019-08-01,13.0,300.0,211.0,112.0
USW00013985,37.77105,-99.96915,785.6,2019-08-01,15.0,394.0,217.0,134.0
USW00013986,38.06824,-97.86075,463.2,2019-08-01,0.0,339.0,244.0,103.0
USW00013987,37.15222,-94.49524,296.4,2019-08-01,163.0,278.0,211.0,63.0
USW00013988,39.12791,-94.58915,226.2,2019-08-01,8.0,306.0,217.0,63.0
USW00013994,38.75246,-90.37342,162.0,2019-08-01,0.0,283.0,183.0,58.0
USW00013995,37.23983,-93.38995,384.7,2019-08-01,0.0,300.0,217.0,54.0
USW00013996,39.07246,-95.62602,268.1,2019-08-01,389.0,289.0,200.0,103.0
USW00014605,44.3161,-69.79702,106.4,2019-08-01,0.0,289.0,172.0,72.0
USW00014606,44.79791,-68.81852,44.9,2019-08-01,0.0,283.0,144.0,67.0
USW00014607,46.87049,-68.01723,188.6,2019-08-01,0.0,256.0,139.0,67.0
USW00014609,46.11846,-67.79289,146.4,2019-08-01,3.0,278.0,106.0,76.0
USW00014610,45.64778,-68.69245,122.2,2019-08-01,0.0,278.0,156.0,63.0
USW00014710,42.92963,-71.43559,69.8,2019-08-01,0.0,306.0,194.0,72.0
USW00014711,40.1962,-76.77249,91.1,2019-08-01,3.0,317.0,217.0,72.0
USW00014712,40.37342,-75.95924,101.3,2019-08-01,41.0,294.0,200.0,130.0
USW00014732,40.77945,-73.88027,3.0,2019-08-01,0.0,311.0,228.0,54.0
USW00014733,42.93998,-78.73606,216.2,2019-08-01,0.0,283.0,156.0,72.0
USW00014734,40.68275,-74.16927,1.9,2019-08-01,0.0,317.0,211.0,58.0
USW00014735,42.74722,-73.79913,85.4,2019-08-01,0.0,294.0,161.0,54.0
USW00014736,40.29993,-78.3168,446.6,2019-08-01,0.0,294.0,172.0,40.0
USW00014737,40.64984,-75.44773,117.4,2019-08-01,0.0,311.0,189.0,54.0
USW00014739,42.36057,-71.00975,3.2,2019-08-01,0.0,317.0,233.0,63.0
USW00014740,41.93742,-72.68202,51.6,2019-08-01,0.0,311.0,167.0,63.0
USW00014742,44.46825,-73.1499,101.1,2019-08-01,0.0,278.0,150.0,58.0
USW00014745,43.20488,-71.50257,103.1,2019-08-01,0.0,289.0,122.0,67.0
USW00014747,42.4932,-79.27623,203.9,2019-08-01,0.0,278.0,144.0,58.0
USW00014748,42.15658,-76.90291,285.3,2019-08-01,0.0,289.0,144.0,40.0
USW00014751,40.21843,-76.85521,102.1,2019-08-01,38.0,322.0,217.0,76.0
USW00014752,41.7352,-72.65115,4.0,2019-08-01,0.0,306.0,189.0,54.0
USW00014753,42.2123,-71.1137,190.5,2019-08-01,0.0,289.0,189.0,63.0
USW00014757,41.62574,-73.88155,46.6,2019-08-01,0.0,311.0,183.0,45.0
USW00014758,41.259,-72.88911,1.8,2019-08-01,0.0,306.0,206.0,54.0
USW00014763,42.42686,-73.28907,351.2,2019-08-01,0.0,272.0,150.0,63.0
USW00014764,43.64244,-70.30443,13.5,2019-08-01,0.0,294.0,172.0,67.0
USW00014765,41.72252,-71.43248,15.4,2019-08-01,0.0,306.0,206.0,63.0
USW00014768,43.11723,-77.67539,164.5,2019-08-01,0.0,278.0,150.0,76.0
USW00014770,40.81929,-76.86581,135.3,2019-08-01,0.0,294.0,194.0,40.0
USW00014771,43.1111,-76.10384,124.9,2019-08-01,0.0,283.0,161.0,58.0
USW00014775,42.16005,-72.71246,80.6,2019-08-01,0.0,300.0,-10.0,94.0
USW00014777,41.33349,-75.72273,289.9,2019-08-01,0.0,300.0,183.0,54.0
USW00014778,41.24295,-76.92173,159.8,2019-08-01,0.0,300.0,189.0,40.0
USW00014787,41.52991,-71.28331,45.1,2019-08-01,0.0,300.0,194.0,58.0
USW00014792,40.27681,-74.81587,57.9,2019-08-01,0.0,300.0,194.0,45.0
USW00014794,41.35092,-71.80555,19.8,2019-08-01,0.0,322.0,194.0,54.0
USW00014813,41.03732,-81.46341,318.1,2019-08-01,0.0,300.0,172.0,63.0
USW00014815,42.31192,-85.24147,282.5,2019-08-01,0.0,278.0,122.0,54.0
USW00014819,41.78412,-87.75514,185.8,2019-08-01,0.0,267.0,156.0,63.0
USW00014820,41.40568,-81.85191,236.8,2019-08-01,0.0,278.0,167.0,63.0
USW00014821,39.99068,-82.87703,246.8,2019-08-01,0.0,300.0,206.0,72.0
